"Area_Name","State","X25_02_2020","X26_02_2020","X27_02_2020","X28_02_2020","X29_02_2020","X01_03_2020","X02_03_2020","X03_03_2020","X04_03_2020","X05_03_2020","X06_03_2020","X07_03_2020","X08_03_2020","X09_03_2020","X10_03_2020","X11_03_2020","X12_03_2020","X13_03_2020","X14_03_2020","X15_03_2020","X16_03_2020","X17_03_2020","X18_03_2020","X19_03_2020","X20_03_2020","X21_03_2020","X22_03_2020","X23_03_2020","X24_03_2020","X25_03_2020","X26_03_2020","X27_03_2020","X28_03_2020","X29_03_2020","X30_03_2020","X31_03_2020","X01_04_2020","X02_04_2020","X03_04_2020","X04_04_2020","X05_04_2020","X06_04_2020","X07_04_2020","X08_04_2020","X09_04_2020","X10_04_2020","X11_04_2020","X12_04_2020","X13_04_2020","X14_04_2020","X15_04_2020","X16_04_2020","X17_04_2020","X18_04_2020","X19_04_2020","X20_04_2020","X21_04_2020","X22_04_2020","X23_04_2020","X24_04_2020","X25_04_2020","X26_04_2020","X27_04_2020","X28_04_2020","X29_04_2020","X30_04_2020","X01_05_2020","X02_05_2020","X03_05_2020","X04_05_2020","X05_05_2020","X06_05_2020","X07_05_2020","X08_05_2020","X09_05_2020","X10_05_2020","X11_05_2020","X12_05_2020","X13_05_2020","X14_05_2020","X15_05_2020","X16_05_2020","X17_05_2020","X18_05_2020","X19_05_2020","X20_05_2020","X21_05_2020","X22_05_2020","X23_05_2020","X24_05_2020","X25_05_2020","X26_05_2020","X27_05_2020","X28_05_2020","X29_05_2020","X30_05_2020","X31_05_2020","X01_06_2020","X02_06_2020","X03_06_2020","X04_06_2020","X05_06_2020","X06_06_2020","X07_06_2020","X08_06_2020","X09_06_2020","X10_06_2020","X11_06_2020","X12_06_2020","X13_06_2020","X14_06_2020","X15_06_2020","X16_06_2020","X17_06_2020","X18_06_2020","X19_06_2020","X20_06_2020","X21_06_2020","X22_06_2020","X23_06_2020","X24_06_2020","X25_06_2020","X26_06_2020","X27_06_2020","X28_06_2020","X29_06_2020","X30_06_2020","X01_07_2020","X02_07_2020","X03_07_2020","X04_07_2020","X05_07_2020","X06_07_2020","X07_07_2020","X08_07_2020","X09_07_2020","X10_07_2020","X11_07_2020","X12_07_2020","X13_07_2020","X14_07_2020","X15_07_2020","X16_07_2020","X17_07_2020","X18_07_2020","X19_07_2020","X20_07_2020","X21_07_2020","X22_07_2020","X23_07_2020","X24_07_2020","X25_07_2020","X26_07_2020","X27_07_2020","X28_07_2020","X29_07_2020","X30_07_2020","X31_07_2020","X01_08_2020","X02_08_2020","X03_08_2020","X04_08_2020","X05_08_2020","X06_08_2020","X07_08_2020","X08_08_2020","X09_08_2020","X10_08_2020","X11_08_2020","X12_08_2020","X13_08_2020","X14_08_2020","X15_08_2020","X16_08_2020","X17_08_2020","X18_08_2020","X19_08_2020","X20_08_2020","X21_08_2020","X22_08_2020","X23_08_2020","X24_08_2020","X25_08_2020","X26_08_2020","X27_08_2020","X28_08_2020","X29_08_2020","X30_08_2020","X31_08_2020","X01_09_2020","X02_09_2020","X03_09_2020","X04_09_2020","X05_09_2020","X06_09_2020","X07_09_2020","X08_09_2020","X09_09_2020","X10_09_2020","X11_09_2020","X12_09_2020","X13_09_2020","X14_09_2020","X15_09_2020","X16_09_2020","X17_09_2020","X18_09_2020","X19_09_2020","X20_09_2020","X21_09_2020","X22_09_2020","X23_09_2020","X24_09_2020","X25_09_2020","X26_09_2020","X27_09_2020","X28_09_2020","X29_09_2020","X30_09_2020","X01_10_2020","X02_10_2020","X03_10_2020","X04_10_2020","X05_10_2020","X06_10_2020","X07_10_2020","X08_10_2020","X09_10_2020","X10_10_2020","X11_10_2020","X12_10_2020","X13_10_2020","X14_10_2020","X15_10_2020","X16_10_2020","X17_10_2020","X18_10_2020","X19_10_2020","X20_10_2020","X21_10_2020","X22_10_2020","X23_10_2020","X24_10_2020","X25_10_2020","X26_10_2020","X27_10_2020","X28_10_2020","X29_10_2020","X30_10_2020","X31_10_2020","X01_11_2020","X02_11_2020","X03_11_2020","X04_11_2020","X05_11_2020","X06_11_2020","X07_11_2020","X08_11_2020","X09_11_2020","X10_11_2020","X11_11_2020","X12_11_2020","X13_11_2020","X14_11_2020","X15_11_2020","X16_11_2020","X17_11_2020","X18_11_2020","X19_11_2020","X20_11_2020","X21_11_2020","X22_11_2020","X23_11_2020","X24_11_2020","X25_11_2020","X26_11_2020","X27_11_2020","X28_11_2020","X29_11_2020","X30_11_2020","X01_12_2020","X02_12_2020","X03_12_2020","X04_12_2020","X05_12_2020","X06_12_2020","X07_12_2020","X08_12_2020","X09_12_2020","X10_12_2020","X11_12_2020","X12_12_2020","X13_12_2020","X14_12_2020","X15_12_2020","X16_12_2020","X17_12_2020","X18_12_2020","X19_12_2020","X20_12_2020","X21_12_2020","X22_12_2020","X23_12_2020","X24_12_2020","X25_12_2020","X26_12_2020","X27_12_2020","X28_12_2020","X29_12_2020","X30_12_2020","X31_12_2020","X01_01_2021","X02_01_2021","X03_01_2021","X04_01_2021","X05_01_2021","X06_01_2021","X07_01_2021","X08_01_2021","X09_01_2021","X10_01_2021","X11_01_2021","X12_01_2021","X13_01_2021","X14_01_2021","X15_01_2021","X16_01_2021","X17_01_2021","X18_01_2021","X19_01_2021","X20_01_2021","X21_01_2021","X22_01_2021","X23_01_2021","X24_01_2021","X25_01_2021","X26_01_2021","X27_01_2021","X28_01_2021","X29_01_2021","X30_01_2021","X31_01_2021","X01_02_2021","X02_02_2021","X03_02_2021","X04_02_2021","X05_02_2021","X06_02_2021","X07_02_2021","X08_02_2021","X09_02_2021","X10_02_2021","X11_02_2021","X12_02_2021","X13_02_2021","X14_02_2021","X15_02_2021","X16_02_2021","X17_02_2021","X18_02_2021","X19_02_2021","X20_02_2021","X21_02_2021","X22_02_2021","X23_02_2021","X24_02_2021","X25_02_2021","X26_02_2021","X27_02_2021","X28_02_2021","X01_03_2021","X02_03_2021","X03_03_2021","X04_03_2021","X05_03_2021","X06_03_2021","X07_03_2021","X08_03_2021","X09_03_2021","X10_03_2021","X11_03_2021","X12_03_2021","X13_03_2021","X14_03_2021","X15_03_2021","X16_03_2021","X17_03_2021","X18_03_2021","X19_03_2021","X20_03_2021","X21_03_2021","X22_03_2021","X23_03_2021","X24_03_2021","X25_03_2021","X26_03_2021","X27_03_2021","X28_03_2021","X29_03_2021","City_ibge_code"
"Acrelândia","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,1200013
"Assis Brasil","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,1200054
"Brasiléia","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,14,14,14,14,14,15,15,15,16,16,16,17,17,17,17,17,17,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,29,29,29,29,29,1200104
"Bujari","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,11,11,11,11,11,1200138
"Capixaba","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,1200179
"Cruzeiro do Sul","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,4,5,5,7,7,9,11,11,11,11,16,16,17,20,21,21,21,22,22,22,23,25,25,28,28,28,28,29,31,31,32,32,33,34,35,35,35,36,37,38,38,38,38,38,39,39,39,39,39,39,42,43,44,45,45,45,45,46,47,49,50,50,51,51,51,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,55,56,56,57,57,57,57,57,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,70,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,75,76,76,77,77,77,77,78,79,80,80,81,85,85,86,86,88,88,89,91,91,93,94,94,97,97,98,98,98,99,99,103,104,109,109,111,111,112,113,116,117,118,120,121,122,122,123,124,125,125,125,125,125,125,127,127,127,127,127,127,127,127,1200203
"Epitaciolândia","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,19,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1200252
"Feijó","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,12,13,14,14,14,14,14,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,27,27,28,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,32,32,32,32,32,32,32,32,32,32,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,38,39,39,39,39,40,40,40,1200302
"Jordão","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1200328
"Mâncio Lima","AC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,1200336
